Часть;Год;Команда;Соперник;Минуты;Схема;Забито;Пропущено;Удары;Удары в створ;Передачи;Точные передачи;Навесы;Точные навесы;Владение;xG;PPDA;Победитель;Проигравший
1;2017;Арсенал;Амкар;95;4-2-3-1 (100.0%);0;1;18;4;462;385;23;5;58.51;1.2;7.7;Амкар;Арсенал
1;2017;Арсенал;Ахмат;96;4-2-3-1 (47.91%);2;1;5;3;317;243;17;4;34.92;0.69;8.43;Арсенал;Ахмат
1;2017;Арсенал;Урал;94;4-1-4-1 (100.0%);2;2;17;3;284;213;19;6;47.92;1.73;5.38;Ничья;Ничья
1;2017;Арсенал;Спартак;95;4-1-4-1 (67.47%);0;2;5;1;405;332;12;2;47.3;0.23;9.44;Спартак;Арсенал
1;2017;Арсенал;Тосно;93;4-1-4-1 (71.07%);1;2;13;3;362;293;16;6;57.99;1.38;4.75;Тосно;Арсенал
1;2017;Арсенал;Рубин;98;4-1-4-1 (91.49%);1;2;11;2;284;224;10;4;42.11;0.66;17.43;Рубин;Арсенал
1;2017;Арсенал;СКА;95;4-1-4-1 (100.0%);1;0;14;5;400;338;11;4;47.52;1.37;7.51;Арсенал;СКА
1;2017;Арсенал;Локомотив;93;4-5-1 (77.62%);0;1;10;2;493;419;21;8;58.01;0.84;7.92;Локомотив;Арсенал
2;2017;Арсенал;Спартак;91;3-4-2-1 (52.98%);3;0;11;4;242;185;8;2;31.9;2.52;8.98;Арсенал;Спартак
2;2017;Арсенал;Амкар;93;3-4-2-1 (100.0%);0;0;15;2;383;309;10;4;50.38;0.32;6.84;Ничья;Ничья
2;2017;Арсенал;ЦСКА;92;5-3-2 (67.64%);0;3;2;0;255;200;4;1;27.53;0.06;30.58;ЦСКА;Арсенал
2;2017;Арсенал;Ростов;94;3-4-2-1 (90.74%);1;0;2;1;276;205;7;1;37.8;0.53;9.84;Арсенал;Ростов
2;2017;Арсенал;Уфа;95;3-4-1-2 (100.0%);0;1;6;1;400;323;14;5;52.01;0.13;19.25;Уфа;Арсенал
2;2017;Арсенал;КС;93;5-3-2 (100.0%);2;0;15;4;269;184;17;5;40.11;1.23;9.03;Арсенал;КС
2;2017;Арсенал;Краснодар;94;5-3-2 (100.0%);0;2;11;3;325;253;15;4;35.32;0.5;18.14;Краснодар;Арсенал
2;2017;Арсенал;Локомотив;92;3-4-2-1 (39.9%);0;3;6;1;292;227;14;4;33.85;0.44;23.52;Локомотив;Арсенал
2;2017;Арсенал;Ахмат;93;3-4-2-1 (48.83%);1;3;7;3;360;281;19;6;52.67;1.12;6.93;Ахмат;Арсенал
2;2017;Арсенал;Томь;92;3-4-2-1 (100.0%);3;0;16;9;324;253;15;5;48.98;2.72;5.44;Арсенал;Томь
2;2017;Арсенал;Зенит;94;5-4-1 (71.38%);0;2;7;3;274;215;11;4;36.25;0.19;12.43;Зенит;Арсенал
2;2017;Арсенал;Урал;94;5-3-2 (87.04%);2;0;13;4;320;253;16;6;44.12;1.6;9.1;Арсенал;Урал
2;2017;Арсенал;Оренбург;92;3-4-2-1 (82.41%);0;3;14;3;510;421;29;11;64.39;0.7;6.32;Оренбург;Арсенал
1;2016;Арсенал;Анжи;93;5-3-2 (100.0%);1;0;11;4;308;182;14;4;52.54;1.51;4.94;Арсенал;Анжи
1;2016;Арсенал;Рубин;93;5-4-1 (91.74%);0;1;7;3;329;245;15;6;48.74;0.26;6.3;Рубин;Арсенал
1;2016;Арсенал;Амкар;94;5-4-1 (81.3%);0;1;6;0;390;299;16;2;50.67;0.29;7.85;Амкар;Арсенал
1;2016;Арсенал;ЦСКА;96;3-4-3 (100.0%);0;1;7;2;250;185;13;5;34.16;0.24;12.43;ЦСКА;Арсенал
1;2016;Арсенал;Ростов;93;5-4-1 (75.52%);1;4;6;3;419;313;12;2;48.8;0.32;9.56;Ростов;Арсенал
1;2016;Арсенал;Уфа;95;5-4-1 (62.26%);0;2;16;2;439;354;25;8;53.73;0.49;7.32;Уфа;Арсенал
1;2016;Арсенал;КС;95;5-4-1 (49.61%);1;1;17;10;462;389;22;7;52.69;1.85;7.91;Ничья;Ничья
1;2016;Арсенал;Краснодар;93;5-4-1 (100.0%);0;0;11;1;201;132;16;5;24.49;1.05;13.86;Ничья;Ничья
1;2016;Арсенал;Локомотив;95;3-5-1-1 (67.41%);1;1;7;2;189;135;1;0;28.89;0.36;15.89;Ничья;Ничья
1;2016;Арсенал;Ахмат;93;3-5-1-1 (48.51%);0;0;13;5;358;298;8;3;41.11;0.51;8.71;Ничья;Ничья
1;2016;Арсенал;Томь;95;5-4-1 (89.51%);0;1;11;2;568;498;24;11;62.12;0.48;6.72;Томь;Арсенал
1;2016;Арсенал;Зенит;91;5-4-1 (50.51%);0;5;12;3;429;360;14;3;47.46;1.01;17.94;Зенит;Арсенал
1;2016;Арсенал;Урал;95;3-5-1-1 (82.94%);1;1;5;2;340;281;8;1;41.68;0.46;18.93;Ничья;Ничья
1;2016;Арсенал;Оренбург;93;5-3-2 (100.0%);0;0;8;1;552;481;18;3;74.14;0.34;5.14;Ничья;Ничья
1;2016;Арсенал;Анжи;96;5-3-2 (100.0%);0;1;9;3;456;385;8;2;56.47;1.24;9.68;Анжи;Арсенал
1;2016;Арсенал;Рубин;96;5-3-2 (84.38%);1;0;12;3;298;213;11;2;40.01;1.27;9.42;Арсенал;Рубин
1;2016;Арсенал;Спартак;93;5-3-2 (100.0%);0;4;12;3;365;302;8;5;37.95;0.55;15.12;Спартак;Арсенал
2;2018;Амкар;Ахмат;96;5-4-1 (62.06%);0;0;16;4;608;537;31;15;62.28;1.45;8.27;Ничья;Ничья
2;2018;Амкар;Урал;94;5-4-1 (100.0%);2;0;8;4;244;183;4;1;33.19;0.92;12.93;Амкар;Урал
2;2018;Амкар;Спартак;94;5-3-2 (100.0%);0;2;11;0;408;331;13;3;44.8;0.51;13.48;Спартак;Амкар
2;2018;Амкар;Тосно;95;5-3-2 (75.26%);2;0;10;3;216;138;9;4;34.19;2.28;9.24;Амкар;Тосно
2;2018;Амкар;ЦСКА;92;5-4-1 (100.0%);0;3;7;2;251;194;12;5;31.55;0.77;20.19;ЦСКА;Амкар
2;2018;Амкар;Рубин;94;5-3-2 (26.38%);0;3;7;3;330;259;11;3;44.33;0.44;14;Рубин;Амкар
2;2018;Амкар;СКА;96;5-3-2 (72.89%);2;0;14;6;423;361;11;2;48.99;2.22;10.87;Амкар;СКА
2;2018;Амкар;Локомотив;93;5-3-2 (100.0%);2;1;14;5;290;219;15;7;36.41;2.01;12.1;Амкар;Локомотив
2;2018;Амкар;Арсенал;93;5-4-1 (64.89%);0;2;8;3;444;356;15;5;52.47;0.89;16.19;Арсенал;Амкар
2;2018;Амкар;Зенит;98;5-4-1 (97.5%);0;0;5;2;200;159;7;2;31.91;0.16;8.33;Ничья;Ничья
1;2017;Амкар;Краснодар;94;5-4-1 (49.03%);1;3;13;6;494;413;32;15;52.46;1.57;13.7;Краснодар;Амкар
1;2017;Амкар;Уфа;93;3-4-3 (81.39%);0;3;9;1;426;321;18;5;58.18;0.41;7.66;Уфа;Амкар
1;2017;Амкар;Динамо;94;5-4-1 (100.0%);2;1;13;3;382;316;10;4;53.42;1.72;7.93;Амкар;Динамо
1;2017;Амкар;Ростов;93;5-4-1 (100.0%);0;0;10;0;360;273;11;1;46.06;1.07;8.88;Ничья;Ничья
1;2017;Амкар;Анжи;99;5-3-2 (59.36%);1;2;12;3;382;306;15;9;56.98;1.25;4.98;Анжи;Амкар
1;2017;Амкар;Урал;96;5-3-2 (100.0%);1;1;11;3;379;286;19;5;39.42;1.35;7.4;Ничья;Ничья
1;2017;Амкар;Спартак;93;5-4-1 (100.0%);0;0;8;1;283;215;1;0;31.89;0.46;9.06;Ничья;Ничья
1;2017;Амкар;Тосно;95;3-5-2 (100.0%);0;0;7;1;358;252;10;4;45.6;0.46;4;Ничья;Ничья
1;2017;Амкар;Рубин;98;5-3-2 (94.59%);1;0;5;3;324;242;7;2;41.5;0.24;13.85;Амкар;Рубин
1;2017;Амкар;СКА;94;5-4-1 (74.98%);3;0;18;8;329;264;12;4;32.81;1.55;17.4;Амкар;СКА
1;2017;Амкар;Локомотив;96;5-3-2 (100.0%);1;0;6;2;215;141;4;1;29.32;0.24;13.75;Амкар;Локомотив
1;2017;Амкар;ЦСКА;96;5-4-1 (95.38%);0;1;5;1;394;302;10;4;41.78;0.64;12.65;ЦСКА;Амкар
1;2017;Амкар;Арсенал;95;5-4-1 (100.0%);1;0;8;2;307;224;12;4;41.49;0.41;16.21;Амкар;Арсенал
1;2017;Амкар;Зенит;95;5-4-1 (92.03%);0;1;11;3;255;179;8;3;31.2;0.84;14.18;Зенит;Амкар
1;2017;Амкар;Краснодар;94;5-3-2 (78.4%);1;1;16;4;300;224;17;9;31.26;1.7;26.31;Ничья;Ничья
1;2017;Амкар;Уфа;93;3-5-2 (100.0%);0;0;9;0;377;284;18;3;42.69;1.39;9.53;Ничья;Ничья
1;2017;Амкар;Динамо;92;5-4-1 (73.56%);0;3;11;3;359;280;13;4;44.7;0.54;6.73;Динамо;Амкар
1;2017;Амкар;Ростов;95;5-3-2 (77.72%);0;1;6;1;443;367;9;3;52.36;0.51;10.79;Ростов;Амкар
1;2017;Амкар;Анжи;96;3-4-3 (49.34%);0;1;8;2;348;266;16;6;48.97;0.78;8;Анжи;Амкар
1;2017;Амкар;Ахмат;93;5-3-2 (100.0%);0;1;3;0;280;227;7;2;31.08;0.54;12.13;Ахмат;Амкар
2;2017;Амкар;Рубин;95;3-5-2 (65.0%);1;2;14;5;519;439;30;12;59.63;1.25;4.52;Рубин;Амкар
2;2017;Амкар;Арсенал;93;3-4-2-1 (68.24%);0;0;6;0;436;355;7;3;49.62;0.49;10.14;Ничья;Ничья
2;2017;Амкар;Спартак;93;3-4-3 (91.4%);0;1;14;3;455;377;24;9;53.39;0.8;10.42;Спартак;Амкар
2;2017;Амкар;ЦСКА;93;5-4-1 (70.58%);0;2;6;0;325;245;8;4;37.47;0.12;15.57;ЦСКА;Амкар
2;2017;Амкар;Ростов;95;5-4-1 (59.9%);0;1;2;1;323;235;9;1;46.58;0.02;11.26;Ростов;Амкар
2;2017;Амкар;Краснодар;94;5-3-2 (93.62%);0;2;16;5;272;201;15;8;33.14;0.62;12.62;Краснодар;Амкар
2;2017;Амкар;Локомотив;95;5-4-1 (67.74%);3;3;7;3;342;258;13;4;44.29;1.37;9.96;Ничья;Ничья
2;2017;Амкар;Уфа;94;3-5-2 (74.24%);1;1;11;5;445;372;19;4;56.47;1.02;10.54;Ничья;Ничья
2;2017;Амкар;КС;95;3-5-2 (100.0%);2;2;6;2;272;193;11;5;39.35;0.96;7.24;Ничья;Ничья
2;2017;Амкар;Ахмат;94;5-3-2 (100.0%);1;1;8;2;373;275;11;3;42.3;0.86;10.17;Ничья;Ничья
2;2017;Амкар;Томь;93;3-5-2 (79.29%);0;1;12;2;453;340;41;14;61.14;0.59;4;Томь;Амкар
2;2017;Амкар;Зенит;97;5-3-2 (77.94%);1;0;6;4;241;180;10;2;31.16;0.37;20.13;Амкар;Зенит
2;2017;Амкар;Урал;94;3-5-2 (88.43%);0;1;5;2;351;256;15;6;44;0.16;9.31;Урал;Амкар
1;2016;Амкар;Оренбург;94;5-3-2 (100.0%);3;0;6;3;302;232;10;0;35.59;0.38;9.09;Амкар;Оренбург
1;2016;Амкар;Анжи;95;3-5-2 (75.64%);1;3;10;5;398;314;12;2;48.7;0.64;6.47;Анжи;Амкар
1;2016;Амкар;Арсенал;94;5-3-2 (87.76%);1;0;11;6;438;340;18;7;49.33;0.38;5.78;Амкар;Арсенал
1;2016;Амкар;Спартак;95;5-4-1 (100.0%);0;1;3;1;235;153;3;0;32.2;0.01;7.98;Спартак;Амкар
